company_name,nif
"4lean, Lda.",509335098
"5Metal Solutions, Lda",518426610
"9-6-3-Soluções Industriais Inteligentes, Lda",517945541
"A Eléctrica, Lda.",500001510
"A. G. Basílio & Filhos, Lda",507479939
"ACE – Development & Engineering, Lda",509626971
"AD Meca, Lda",513694811
"Afipre – Ferramentas de Corte, Lda.",504052136
"Alexandre & Maia, Lda.",505290030
"Almor Viegas, Lda",500017190
António Moutinho & CA. Lda,500025550
"Arlógica – Máquinas e Equipamentos, Lda.",504733680
"Astroabax, Unipessoal, Lda.",508739497
"Automair Ibérica – Aplicações Industriais, Lda.",503504106
"Barcenol – Representações, Lda.",503289850
"Best-Tech – Tecnologia de Maquinagem, Comércio e Serviços, Lda",507200918
"Blasqem, Lda",510607411
"Blowmek – Industrial Systems, Lda",514737301
"Bonfitec, Lda",504746987
"Bricofel – Máquinas Industriais, Unipessoal, Lda",510905102
"Buildcode, Consultadoria e Desenvolvimento Unip. Lda",Not found
"Busch Portugal, Unipessoal, Lda",514943203
Cachapuz – Weighing & Logistics Systems Lda,500156050
"CadSolid – CAD/CAM Integrado, Lda.",507067819
"Carlos Moreira Gonçalves & Filhos, Lda.",509140971
"Casa das Resistencias de António Manuel Sousa Cortez, Lda.",502248408
"Castro & Alves, Lda.",502464097
"Clevertools, Lda",513773215
"Codiprof, Lda",507819497
"Cubotónic – Indústria Metalomecânica, Lda.",508320550
"Diamecânica – Ferramenta Diamantada, Lda.",503984930
"Dias & Vicentes, Lda.",500901694
"Dimakin – Soluções Industriais, Lda",515579548
"Draco – Produtos e Comércio de Máquinas, Lda.",509230288
"Elara – Máquinas e Ferramentas, Lda.",503655619
"Electro Portugal, Lda.",500093253
"Empizinhos – Peças e Assistência de Empilhadores, Lda.",503297046
"Estrategor – Consultores de Gestão, Lda",503332992
Eurocontrol. Lda,502204869
"Euroed II – Distribuição, Lda.",513686231
"Europneumaq – Equipamentos Pneumáticos e Hidraulicos, Lda.",Not found
"Famanfil, Lda",505783452
"Fanamol – Fabrica Nacional de Molas, Lda.",500109109
"Fernando Alves – Máquinas e Ferramentas, Lda.",504296272
"Fluidotrónica – Equipamentos Industriais, Lda.",506810470
"Forwinners, Lda",Not found
"Folhadela Rebelo, Lda",501667636
"Forjaço – Aço Forjado, Lda.",500552088
"Foxsolutions, Unipessoal Lda",508039568
"Graphite Technologies, Lda",502219092
"HTUBO, Lda",502863137
"Helireturn, Lda",508056217
"I9cut, Lda.",509908047
"Identipor – Sistemas de Gestão Industrial, Lda.",506007243
"iDR – Domótica I Robótica, Lda",510124046
"Igus – Produtos Polímeros, Unipessoal, Lda.",505018985
"Impor4mill, Lda",514343893
"Inautom – Automação, Lda.",501825665
"IPR Portugal, Lda.",514253924
"J Matos – Filtration Solutions, Lda.",514980281
"J. M. M. Gonçalves, Lda.",501139184
"Konecranes And Demag, Lda",501332766
"Linde Portugal, Lda.",500266344
"Litan Estantes Metálicas, Lda",504766937
"Lusoar – Ar Comprimido e Equipamentos Industriais, Lda.",501745238
"Machaltech – Comércio de Máquinas e Ferramentas Industriais, Lda.",506935973
"Machining CNC Unipessoal, Lda",509490735
"Mafermaq – Máquinas Ferramentas, Lda.",509449921
"Manuel Guedes Martins, Unipessoal, Lda.",505599945
"Matonic – Soluções Industriais, Lda",517444488
"Mavipal, Lda",502836644
"MBTE Europeltier Thermotechnology, Lda",515492507
"MegaControl, Lda",503291854
"Megastock – Informática, Lda.",503766526
"Metafluidos, Lda",501832939
"Metalotrofa – Serralharia Mecânica da Trofa, Lda.",503126306
"Metalwork Portugal, Lda",507426754
"Midaco – Comércio de Máquinas e Equipamentos p/ Industria, Lda",506398927
"MJAL Engenharia e Automação Industrial, Lda",513081852
"Moovall, Lda",518203956
"Morais & Câmara, Lda.",Not found
"Multiborracha – Acessórios de Borracha e Plásticos, Lda.",Not found
"Mva – Electrotecnia, Lda.",Not found
"Nicrodur, Lda",Not found
"Norcam, Lda",502651857
"Nord Drivesystems PTP, Lda.",508284937
"Norlene – Plásticos Técnicos, Lda.",502444568
"OBO Bettermann Portugal, Lda.",503630373
"OK Embalagens, Lda",504640631
"Open Mind Technologies Portugal, Unipessoal, Lda",515231100
"Osório de Castro, Lda",503216143
"PAM – Serviços Técnicos Industriais, Lda.",503294365
"Partner Item Portugal, Lda",516084496
"Paulo C. Barbosa, Lda.",501077391
"Pedro Peixoto, Lda.",506679551
"PHF Concept, Lda",510917690
"Polimais – Equipamentos Industriais, Lda.",507768400
"Portinter – Tecnologia & Serviços, Lda.",501496122
"Promocompo, Lda",501179569
"Prosistav, Lda",504397290
"PTF – Equipamentos e Soluções Técnicas Industriais, Lda.",510563961
"Qualas, Lda.",508657350
"Qucaan Business, Lda.",509382940
"Rabourdin Portugal Unipessoal, Lda",514549793
"Raviol, Lda",504422529
"Reiman, Lda.",502107677
"Rerom – Equipamentos e Acessórios para a Industria, Lda.",500856761
"Ribeiwelding – Soluções de Soldadura, Lda.",513354727
"RICO – Tomás Castro Silva, Lda",500626960
SAE – Sistemas de Automação e de Energia Lda.,505213850
"SAFA – Construções ElectroMecânicas, Lda.",503117900
"Saint Gobain Abrasivos, Lda.",Not found
"SB Molde – Comércio de Moldes, Lda.",Not found
"SCANSCI – Equipamentos Laboratório, Lda",509014208
"SCH – Sociedade de Comércio de Soldadura Helvética, Lda.",504994204
"SEL – Soluções Electro Mecânicas, Lda",510241310
"Siebec, Lda",515943320
"Silvino Lindo Iberica, Lda",502342242
"Sistpul, Lda.",505692171
"Soponor – Soluções Logisticas, Lda",514795166
Sotecnor Unipessoal Lda,514713100
"Sovende, Lda",501715983
SprayControl Lda,516808060
"StatusAlumínio, Lda",507755561
"STV – Equipamentos para a Industria e Laboratorios, Lda.",Not found
"Sucorema, Lda",501744991
"TDF Portugal – Técnica de Fluidos, Lda.",505133938
"Tecnimpor, Lda",508825032
"Tectoma, Lda",506685373
"TM2A Norte, Soluções e Componentes Industriais, Lda.",517959402
"TotalEnergies Marketing Portugal, Unipessoal Lda",514145056
"Trodman – Consumiveis de Manutenção, Lda",505477416
"TWW – Tranemo Workwear, Lda",514130849
"Tyrolit, Lda.",502990449
"Ultraprecisão, Lda",504805940
