"4lean, Lda."
"5Metal Solutions, Lda"
"9-6-3-Soluções Industriais Inteligentes, Lda"
"A Eléctrica, Lda."
"A. G. Basílio & Filhos, Lda"
"ACE – Development & Engineering, Lda"
"AD Meca, Lda"
"Afipre – Ferramentas de Corte, Lda."
"Alexandre & Maia, Lda."
"Almor Viegas, Lda"
António Moutinho & CA. Lda
"Arlógica – Máquinas e Equipamentos, Lda."
"Astroabax, Unipessoal, Lda."
"Automair Ibérica – Aplicações Industriais, Lda."
"Barcenol – Representações, Lda."
"Best-Tech – Tecnologia de Maquinagem, Comércio e Serviços, Lda"
"Blasqem, Lda"
"Blowmek – Industrial Systems, Lda"
"Bonfitec, Lda"
"Bricofel – Máquinas Industriais, Unipessoal, Lda"
"Buildcode, Consultadoria e Desenvolvimento Unip. Lda"
"Busch Portugal, Unipessoal, Lda"
Cachapuz – Weighing & Logistics Systems Lda
"CadSolid – CAD/CAM Integrado, Lda."
"Carlos Moreira Gonçalves & Filhos, Lda."
"Casa das Resistencias de António Manuel Sousa Cortez, Lda."
"Castro & Alves, Lda."
"Clevertools, Lda"
"Codiprof, Lda"
"Cubotónic – Indústria Metalomecânica, Lda."
"Diamecânica – Ferramenta Diamantada, Lda."
"Dias & Vicentes, Lda."
"Dimakin – Soluções Industriais, Lda"
"Draco – Produtos e Comércio de Máquinas, Lda."
"Elara – Máquinas e Ferramentas, Lda."
"Electro Portugal, Lda."
"Empizinhos – Peças e Assistência de Empilhadores, Lda."
"Estrategor – Consultores de Gestão, Lda"
Eurocontrol. Lda
"Euroed II – Distribuição, Lda."
"Europneumaq – Equipamentos Pneumáticos e Hidraulicos, Lda."
"Famanfil, Lda"
"Fanamol – Fabrica Nacional de Molas, Lda."
"Fernando Alves – Máquinas e Ferramentas, Lda."
"Fluidotrónica – Equipamentos Industriais, Lda."
"Forwinners, Lda"
"Folhadela Rebelo, Lda"
"Forjaço – Aço Forjado, Lda."
"Foxsolutions, Unipessoal Lda"
"Graphite Technologies, Lda"
"HTUBO, Lda"
"Helireturn, Lda"
"I9cut, Lda."
"Identipor – Sistemas de Gestão Industrial, Lda."
"iDR – Domótica I Robótica, Lda"
"Igus – Produtos Polímeros, Unipessoal, Lda."
"Impor4mill, Lda"
"Inautom – Automação, Lda."
"IPR Portugal, Lda."
"J Matos – Filtration Solutions, Lda."
"J. M. M. Gonçalves, Lda."
"Konecranes And Demag, Lda"
"Linde Portugal, Lda."
"Litan Estantes Metálicas, Lda"
"Lusoar – Ar Comprimido e Equipamentos Industriais, Lda."
"Machaltech – Comércio de Máquinas e Ferramentas Industriais, Lda."
"Machining CNC Unipessoal, Lda"
"Mafermaq – Máquinas Ferramentas, Lda."
"Manuel Guedes Martins, Unipessoal, Lda."
"Matonic – Soluções Industriais, Lda"
"Mavipal, Lda"
"MBTE Europeltier Thermotechnology, Lda"
"MegaControl, Lda"
"Megastock – Informática, Lda."
"Metafluidos, Lda"
"Metalotrofa – Serralharia Mecânica da Trofa, Lda."
"Metalwork Portugal, Lda"
"Midaco – Comércio de Máquinas e Equipamentos p/ Industria, Lda"
"MJAL Engenharia e Automação Industrial, Lda"
"Moovall, Lda"
"Morais & Câmara, Lda."
"Multiborracha – Acessórios de Borracha e Plásticos, Lda."
"Mva – Electrotecnia, Lda."
"Nicrodur, Lda"
"Norcam, Lda"
"Nord Drivesystems PTP, Lda."
"Norlene – Plásticos Técnicos, Lda."
"OBO Bettermann Portugal, Lda."
"OK Embalagens, Lda"
"Open Mind Technologies Portugal, Unipessoal, Lda"
"Osório de Castro, Lda"
"PAM – Serviços Técnicos Industriais, Lda."
"Partner Item Portugal, Lda"
"Paulo C. Barbosa, Lda."
"Pedro Peixoto, Lda."
"PHF Concept, Lda"
"Polimais – Equipamentos Industriais, Lda."
"Portinter – Tecnologia & Serviços, Lda."
"Promocompo, Lda"
"Prosistav, Lda"
"PTF – Equipamentos e Soluções Técnicas Industriais, Lda."
"Qualas, Lda."
"Qucaan Business, Lda."
"Rabourdin Portugal Unipessoal, Lda"
"Raviol, Lda"
"Reiman, Lda."
"Rerom – Equipamentos e Acessórios para a Industria, Lda."
"Ribeiwelding – Soluções de Soldadura, Lda."
"RICO – Tomás Castro Silva, Lda"
SAE – Sistemas de Automação e de Energia Lda.
"SAFA – Construções ElectroMecânicas, Lda."
"Saint Gobain Abrasivos, Lda."
"SB Molde – Comércio de Moldes, Lda."
"SCANSCI – Equipamentos Laboratório, Lda"
"SCH – Sociedade de Comércio de Soldadura Helvética, Lda."
"SEL – Soluções Electro Mecânicas, Lda"
"Siebec, Lda"
"Silvino Lindo Iberica, Lda"
"Sistpul, Lda."
"Soponor – Soluções Logisticas, Lda"
Sotecnor Unipessoal Lda
"Sovende, Lda"
SprayControl Lda
"StatusAlumínio, Lda"
"STV – Equipamentos para a Industria e Laboratorios, Lda."
"Sucorema, Lda"
"TDF Portugal – Técnica de Fluidos, Lda."
"Tecnimpor, Lda"
"Tectoma, Lda"
"TM2A Norte, Soluções e Componentes Industriais, Lda."
"TotalEnergies Marketing Portugal, Unipessoal Lda"
"Trodman – Consumiveis de Manutenção, Lda"
"TWW – Tranemo Workwear, Lda"
"Tyrolit, Lda."
"Ultraprecisão, Lda"
"Usrobot, Lda"
"Utec – União Técnicas de Soldadura, Lda."
"Vimétrica Agro, Lda."
"Widinovations, Lda"
"4lean, Lda."
"5Metal Solutions, Lda"
"9-6-3-Soluções Industriais Inteligentes, Lda"
"A Eléctrica, Lda."
"A. G. Basílio & Filhos, Lda"
"ACE – Development & Engineering, Lda"
"AD Meca, Lda"
"Afipre – Ferramentas de Corte, Lda."
"Alexandre & Maia, Lda."
"Almor Viegas, Lda"
António Moutinho & CA. Lda
"Arlógica – Máquinas e Equipamentos, Lda."
"Astroabax, Unipessoal, Lda."
"Automair Ibérica – Aplicações Industriais, Lda."
"Barcenol – Representações, Lda."
"Best-Tech – Tecnologia de Maquinagem, Comércio e Serviços, Lda"
"Blasqem, Lda"
"Blowmek – Industrial Systems, Lda"
"Bonfitec, Lda"
"Bricofel – Máquinas Industriais, Unipessoal, Lda"
"Buildcode, Consultadoria e Desenvolvimento Unip. Lda"
"Busch Portugal, Unipessoal, Lda"
Cachapuz – Weighing & Logistics Systems Lda
"CadSolid – CAD/CAM Integrado, Lda."
"Carlos Moreira Gonçalves & Filhos, Lda."
"Casa das Resistencias de António Manuel Sousa Cortez, Lda."
"Castro & Alves, Lda."
"Clevertools, Lda"
"Codiprof, Lda"
"Cubotónic – Indústria Metalomecânica, Lda."
"Diamecânica – Ferramenta Diamantada, Lda."
"Dias & Vicentes, Lda."
"Dimakin – Soluções Industriais, Lda"
"Draco – Produtos e Comércio de Máquinas, Lda."
"Elara – Máquinas e Ferramentas, Lda."
"Electro Portugal, Lda."
"Empizinhos – Peças e Assistência de Empilhadores, Lda."
"Estrategor – Consultores de Gestão, Lda"
Eurocontrol. Lda
"Euroed II – Distribuição, Lda."
"Europneumaq – Equipamentos Pneumáticos e Hidraulicos, Lda."
"Famanfil, Lda"
"Fanamol – Fabrica Nacional de Molas, Lda."
"Fernando Alves – Máquinas e Ferramentas, Lda."
"Fluidotrónica – Equipamentos Industriais, Lda."
"Forwinners, Lda"
"Folhadela Rebelo, Lda"
"Forjaço – Aço Forjado, Lda."
"Foxsolutions, Unipessoal Lda"
"HTUBO, Lda"
"Helireturn, Lda"
"I9cut, Lda."
"Identipor – Sistemas de Gestão Industrial, Lda."
"iDR – Domótica I Robótica, Lda"
"Igus – Produtos Polímeros, Unipessoal, Lda."
"Impor4mill, Lda"
"Inautom – Automação, Lda."
"IPR Portugal, Lda."
"J Matos – Filtration Solutions, Lda."
"J. M. M. Gonçalves, Lda."
"Konecranes And Demag, Lda"
"Linde Portugal, Lda."
"Litan Estantes Metálicas, Lda"
"Lusoar – Ar Comprimido e Equipamentos Industriais, Lda."
"Machaltech – Comércio de Máquinas e Ferramentas Industriais, Lda."
"Machining CNC Unipessoal, Lda"
"Mafermaq – Máquinas Ferramentas, Lda."
"Manuel Guedes Martins, Unipessoal, Lda."
"Matonic – Soluções Industriais, Lda"
"Mavipal, Lda"
"MBTE Europeltier Thermotechnology, Lda"
"MegaControl, Lda"
"Megastock – Informática, Lda."
"Metafluidos, Lda"
"Metalotrofa – Serralharia Mecânica da Trofa, Lda."
"Metalwork Portugal, Lda"
"Midaco – Comércio de Máquinas e Equipamentos p/ Industria, Lda"
"MJAL Engenharia e Automação Industrial, Lda"
"Moovall, Lda"
"Morais & Câmara, Lda."
"Multiborracha – Acessórios de Borracha e Plásticos, Lda."
"Mva – Electrotecnia, Lda."
"Nicrodur, Lda"
"Norcam, Lda"
"Nord Drivesystems PTP, Lda."
"Norlene – Plásticos Técnicos, Lda."
"OBO Bettermann Portugal, Lda."
"OK Embalagens, Lda"
"Open Mind Technologies Portugal, Unipessoal, Lda"
"Osório de Castro, Lda"
"PAM – Serviços Técnicos Industriais, Lda."
"Partner Item Portugal, Lda"
"Paulo C. Barbosa, Lda."
"Pedro Peixoto, Lda."
"PHF Concept, Lda"
"Polimais – Equipamentos Industriais, Lda."
"Portinter – Tecnologia & Serviços, Lda."
"Promocompo, Lda"
"Prosistav, Lda"
"PTF – Equipamentos e Soluções Técnicas Industriais, Lda."
"Qualas, Lda."
"Qucaan Business, Lda."
"Rabourdin Portugal Unipessoal, Lda"
"Raviol, Lda"
"Reiman, Lda."
"Rerom – Equipamentos e Acessórios para a Industria, Lda."
"Ribeiwelding – Soluções de Soldadura, Lda."
"RICO – Tomás Castro Silva, Lda"
SAE – Sistemas de Automação e de Energia Lda.
"SAFA – Construções ElectroMecânicas, Lda."
"Saint Gobain Abrasivos, Lda."
"SB Molde – Comércio de Moldes, Lda."
"SCANSCI – Equipamentos Laboratório, Lda"
"SCH – Sociedade de Comércio de Soldadura Helvética, Lda."
"SEL – Soluções Electro Mecânicas, Lda"
"Siebec, Lda"
"Silvino Lindo Iberica, Lda"
"Sistpul, Lda."
"Soponor – Soluções Logisticas, Lda"
Sotecnor Unipessoal Lda
"Sovende, Lda"
SprayControl Lda
"StatusAlumínio, Lda"
"STV – Equipamentos para a Industria e Laboratorios, Lda."
"Sucorema, Lda"
"TDF Portugal – Técnica de Fluidos, Lda."
"Tecnimpor, Lda"
"Tectoma, Lda"
"TM2A Norte, Soluções e Componentes Industriais, Lda."
"TotalEnergies Marketing Portugal, Unipessoal Lda"
"Trodman – Consumiveis de Manutenção, Lda"
"TWW – Tranemo Workwear, Lda"
"Tyrolit, Lda."
"Ultraprecisão, Lda"
"Usrobot, Lda"
"Utec – União Técnicas de Soldadura, Lda."
"Vimétrica Agro, Lda."
"Widinovations, Lda"
